"Destination","FlightNumber","Code","Delay","lat","lng","country","Date","Time","Airline","Armenian","DayOfWeek","Status"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-03,"22:55:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-03,"20:00:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-25,"22:55:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-10,"12:25:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-28,"22:55:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-05,"22:20:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-27,"12:25:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-26,"09:25:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-01,"12:25:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-28,"09:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-14,"22:55:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-03,"11:50:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-25,"08:50:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-23,"12:15:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-22,"11:50:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-20,"20:00:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-12-01,"20:00:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-27,"11:40:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-07,"12:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-02,"20:00:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-06,"20:35:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-21,"08:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-10,"11:50:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-24,"12:25:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-31,"12:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-30,"20:35:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-24,"09:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-19,"08:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-03,"10:35:00","Wizz Air",0,"Sunday","Ontime"
