DateTime,Cloud cover,Wind Speed (km/h),Wind gusts,Wind Direction
17.10.2023 18:00,0.88,7,19,W
17.10.2023 19:00,0.84,7,20,NW
17.10.2023 20:00,0.65,9,20,NNW
17.10.2023 21:00,0.46,9,20,NNE
17.10.2023 22:00,0.27,7,20,NE
17.10.2023 23:00,0.33,7,19,ENE
18.10.2023 00:00,0.39,7,17,ENE
18.10.2023 01:00,0.45,7,15,ENE
18.10.2023 02:00,0.47,7,15,ENE
18.10.2023 03:00,0.5,6,13,ENE
18.10.2023 04:00,0.52,6,15,NE
18.10.2023 05:00,0.5,6,13,NE
18.10.2023 06:00,0.48,6,13,NE
18.10.2023 07:00,0.45,6,13,NE
18.10.2023 08:00,0.41,4,9,NE
18.10.2023 09:00,0.37,2,6,N
18.10.2023 10:00,0.32,2,4,WNW
18.10.2023 11:00,0.51,2,7,SW
18.10.2023 12:00,0.7,4,11,SSW
18.10.2023 13:00,0.89,6,13,SSW
18.10.2023 14:00,0.91,6,15,SSW
18.10.2023 15:00,0.93,6,15,SSW
18.10.2023 16:00,0.94,7,17,SSW
18.10.2023 17:00,0.96,7,15,SSW
18.10.2023 18:00,0.98,7,17,S
18.10.2023 19:00,1,7,17,ENE
18.10.2023 20:00,1,7,19,ENE
18.10.2023 21:00,1,7,19,NE
18.10.2023 22:00,1,7,19,NE
18.10.2023 23:00,1,7,19,NE
19.10.2023 00:00,0.98,7,20,NNE
19.10.2023 01:00,1,7,19,NE
19.10.2023 02:00,1,7,19,NNE
19.10.2023 03:00,1,7,19,NW
19.10.2023 04:00,1,7,17,WNW
19.10.2023 05:00,0.99,6,15,WNW
19.10.2023 06:00,0.99,6,15,ENE
19.10.2023 07:00,0.99,6,13,E
19.10.2023 08:00,0.99,6,13,ESE
19.10.2023 09:00,0.99,6,13,SSE
19.10.2023 10:00,1,6,13,SSE
19.10.2023 11:00,1,6,13,SSE
19.10.2023 12:00,1,6,15,E
19.10.2023 13:00,1,7,17,ENE
19.10.2023 14:00,1,7,19,ENE
19.10.2023 15:00,1,7,19,E
19.10.2023 16:00,1,7,19,E
19.10.2023 17:00,0.94,6,17,E
19.10.2023 18:00,0.88,6,13,E
19.10.2023 19:00,0.83,4,9,ENE
19.10.2023 20:00,0.76,4,11,ENE
19.10.2023 21:00,0.76,6,11,ESE
19.10.2023 22:00,0.76,6,13,ESE
19.10.2023 23:00,0.76,6,13,E
20.10.2023 00:00,0.53,7,9,E
20.10.2023 01:00,0.53,7,7,E
20.10.2023 02:00,0.39,7,9,ENE
20.10.2023 03:00,0.26,6,9,ENE
20.10.2023 04:00,0.13,6,9,NE
20.10.2023 05:00,0.18,6,11,NE
20.10.2023 06:00,0.23,6,13,NE
20.10.2023 07:00,0.29,6,15,NE
20.10.2023 08:00,0.27,4,9,NE
20.10.2023 09:00,0.26,4,7,NNE
20.10.2023 10:00,0.24,2,6,NW
20.10.2023 11:00,0.19,4,9,WSW
20.10.2023 12:00,0.13,6,13,SW
20.10.2023 13:00,0.07,6,15,SW
20.10.2023 14:00,0.05,6,13,SW
20.10.2023 15:00,0.03,6,13,SW
20.10.2023 16:00,0.01,6,11,SW
20.10.2023 17:00,0.01,6,11,SW
20.10.2023 18:00,0,6,13,SW
20.10.2023 19:00,0,6,15,N
20.10.2023 20:00,0,7,15,NE
20.10.2023 21:00,0,9,15,NE
20.10.2023 22:00,0,9,15,NE
20.10.2023 23:00,0,9,15,NE
21.10.2023 00:00,0,9,15,NE
21.10.2023 01:00,0,9,15,NE
21.10.2023 02:00,0,9,15,NE
21.10.2023 03:00,0,9,15,NE
21.10.2023 04:00,0,9,15,NE
21.10.2023 05:00,0,9,15,NE
21.10.2023 06:00,0,9,15,NE
21.10.2023 07:00,0,7,15,NE
21.10.2023 08:00,0.01,7,13,NE
